variable_name,data_type,total_records,missing_count,missing_pct,unique_values,data_source,reliability_rating,limitations
soil_moisture_top_3d_mean,float64,45167,0,0.0,1376,Calculated,High (Observed / Authoritative Satellite),Spatial resolution constraints on soil moisture / reanalysis grid
soil_moisture_top_anomaly,float64,45167,0,0.0,397,Calculated,High (Observed / Authoritative Satellite),Spatial resolution constraints on soil moisture / reanalysis grid
river_discharge,float64,45167,1066,2.36,33704,CWC Manual Daily Discharge,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
discharge_lag_1d,float64,45167,0,0.0,33700,Calculated,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
discharge_lag_3d,float64,45167,0,0.0,33692,Calculated,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
discharge_rolling_max_3d,float64,45167,989,2.19,23306,Calculated,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
discharge_rise_rate_1d,float64,45167,1066,2.36,38055,Calculated,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
discharge_percentile,float64,45167,1066,2.36,35797,Calculated,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
slope,float64,45167,0,0.0,5,USGS SRTM DEM 30m,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
aspect,float64,45167,0,0.0,5,USGS SRTM DEM 30m,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
drainage_density,float64,45167,0,0.0,5,GIS Hydrology Analysis,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
distance_to_stream,float64,45167,0,0.0,5,GIS Analysis,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
land_cover,str,45167,0,0.0,5,ISRO Bhuvan LULC 250k,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
soil_type,str,45167,0,0.0,5,NBSS & LUP Soil Map,High (Observed / Authoritative Satellite),Spatial resolution constraints on soil moisture / reanalysis grid
flood_label,int64,45167,0,0.0,2,Historical Disaster Matching,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
label_confidence,str,45167,0,0.0,1,Disaster Verification,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
flood_event_id,str,45167,0,0.0,12,KSDMA / NDMA Records,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
data_quality_flag,float64,45167,0,0.0,3,Cleaning Pipeline,High (Observed / Authoritative Satellite),River gauge missingness filled via short interpolation
ground_rainfall_mm_boyce_estate,float64,45167,41674,92.3,3493,KSDMA/IMD ground gauge,Medium (Real observation but sparse coverage - only VANDIPERIYAR and only 2000-2020),"Only available for 1 of 5 stations (VANDIPERIYAR); station is 19.8km from the gauge so treat as a regional proxy, not a point measurement"
ground_rainfall_mm_vannapuram,float64,45167,41912,92.8,3255,KSDMA/IMD ground gauge,Low (Real observation but 79.7km from nearest target gauge - exceeds reliable proxy distance in this terrain),"Only available for 1 of 5 stations (VANDIPERIYAR) and only 2002-2020; distance exceeds the 50km threshold used elsewhere in this pipeline, use with caution"
ground_rainfall_mm_nearest_available,float64,45167,41011,90.8,4156,Derived from ground_rainfall_mm_boyce_estate / ground_rainfall_mm_vannapuram,Medium (inherits reliability of whichever source station is closer),"Convenience/QA column only; not recommended as a model feature given sparse coverage (~9% of rows) concentrated in a single station and era"
